p_score,rel_atr,ema21_slope,bias_long,bias_short,momentum_vol_ratio,order_flow_imbalance,order_flow_pressure,order_flow_aggressor,news_sentiment,news_event_severity,realtime_confidence,volatility_ratio,volatility_regime_flag,precision_score,precision_trigger_ready,precision_trigger_arming,precision_trigger_fire,precision_trigger_confidence,precision_order_flow_ready,structure_flip_flag,momentum_trail_activation_rr,momentum_trail_lock_ratio,momentum_trail_price
24.0,0.00045211655448662417,0.004011304611201617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9157923670484711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0004228187558201731,0.0037125357028984585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
24.0,0.000536748231430594,0.003923449729295257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
24.0,0.0005687951017566789,0.003871284787085469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0006361057048171285,0.003946667705345552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9903328625063249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0006676014791928035,0.0037285320548258653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9508629294365384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0006330170042578,0.003709695859259234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0005908197154960782,0.0037221370949862276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8543227109788731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0005200551506068414,0.003689077610384966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0004950443657872636,0.0036999934491785797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0003884906045830258,0.0031955377400028863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983150156573313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0003971799779407811,0.003086967536656715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9736534944817432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.00043893510832367707,0.003159637197065278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266891786648116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0004217357881966555,0.003135558569457027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8211044175116026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21.0,0.0006182077620609964,0.004501183738090876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0005278705225685095,0.004498454141038315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9610875574271976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0004901744512647357,0.004459600730483638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9355042536664595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0004852769548433645,0.004472335897850714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9157275557788428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
